Title,Director,Genre,Rating,Length (min),Notable Actors
This is the Title!,Director dude is this one,the genre is like humor or something, PG 13, 150229 minutes, "I am Mr. Notable, I am Mr. Actor"
The Shawshank Redemption,Frank Darabont,Drama,R,142,"Tim Robbins, Morgan Freeman"
Forrest Gump,Robert Zemeckis,Drama/Comedy,PG-13,142,"Tom Hanks, Robin Wright"
Back to the Future,Robert Zemeckis,Sci-Fi/Adventure,PG,116,"Michael J. Fox, Christopher Lloyd"
The Princess Bride,Rob Reiner,Adventure/Comedy,PG,98,"Cary Elwes, Robin Wright"
Jurassic Park,Steven Spielberg,Sci-Fi/Adventure,PG-13,127,"Sam Neill, Laura Dern, Jeff Goldblum"
E.T. the Extra-Terrestrial,Steven Spielberg,Sci-Fi/Family,PG,115,"Henry Thomas, Drew Barrymore"
The Lion King,"Roger Allers, Rob Minkoff",Animation/Family,G,88,"James Earl Jones, Matthew Broderick"
Apollo 13,Ron Howard,Drama/History,PG,140,"Tom Hanks, Kevin Bacon, Bill Paxton"
Hidden Figures,Theodore Melfi,Drama/History,PG,127,"Taraji P. Henson, Octavia Spencer, Janelle Monáe"
